Thu Mar 11 17:30:00 2021    profile.dat

         31637 function calls (30646 primitive calls) in 0.192 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      272    0.000    0.000    0.000    0.000 {method 'read_header' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
        8    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/function_base.py:23(linspace)
      718    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/_asarray.py:14(asarray)
      581    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:233(__next)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.fill}
        1    0.000    0.000    0.189    0.189 test_robot.py:15(main)
        1    0.000    0.000    0.000    0.000 {method 'ResetCamera' of 'vtkmodules.vtkRenderingCore.vtkRenderer' objects}
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     26/3    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_compile.py:71(_compile)
        5    0.000    0.000    0.000    0.000 {built-in method io.open}
      524    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:254(get)
      551    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
      276    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      272    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/compat/py3k.py:48(asstr)
1113/1082    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      769    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        5    0.000    0.000    0.000    0.000 {method 'SetInputData' of 'vtkmodules.vtkCommonExecutionModel.vtkPolyDataAlgorithm' objects}
        1    0.000    0.000    0.000    0.000 /home/lucas/atlas_work/code/hackaton_profile/vtk_robot/project_module/transformations.py:62(build_handeyeMatrix)
      229    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        4    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x5574946413c0}
        1    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1060(load)
      329    0.000    0.000    0.000    0.000 {built-in method math.sin}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       16    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       36    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
     16/5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:41(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      329    0.000    0.000    0.000    0.000 {built-in method math.cos}
      541    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      328    0.000    0.000    0.000    0.000 {method 'SetPoint' of 'vtkmodules.vtkCommonCore.vtkPoints' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      344    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/multiarray.py:143(concatenate)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      272    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/scipy/io/matlab/mio5.py:235(read_var_array)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     16/5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
      339    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/multiarray.py:706(dot)
      160    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:164(__getitem__)
     17/1    0.000    0.000    0.192    0.192 {built-in method builtins.exec}
      167    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
