Thu Mar 11 17:30:00 2021    profile.dat

         31637 function calls (30646 primitive calls) in 0.192 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:164(__getitem__)
      158    0.000    0.000    0.000    0.000 {built-in method _operator.index}
      154    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1358(<listcomp>)
      154    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1308(normalize_axis_tuple)
      138    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      117    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       80    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       80    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       75    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       75    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       75    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(moveaxis)
       75    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1367(_moveaxis_dispatcher)
       75    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1434(<listcomp>)
       75    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/site-packages/numpy/core/numeric.py:1371(moveaxis)
       75    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       70    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       62    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:160(__len__)
       59    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/sre_parse.py:249(match)
       58    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       52    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/envs/atlas_gpu_tf1/lib/python3.7/pickle.py:1473(load_binput)
       51    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       48    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
